	PVALUE	QVALUE	PROV_PVALUE	SIFT_PVALUE
ENSG00000146410	0.9343701875926885	1.0	0.7501	0.8803
ENSG00000146414	0.8139704505611842	1.0	0.8693	0.5244
ENSG00000146426	0.9735786410247024	1.0	0.8896	0.8758
ENSG00000146453	0.5683222589811181	1.0	0.4536	0.5075
ENSG00000146530	0.8200230458740525	1.0	0.6263	0.7403
ENSG00000146555	0.999794673839228	1.0	0.9998	0.98
ENSG00000146592	0.015559341827656392	0.4115249102170253	0.0452	0.0483
ENSG00000146648	0.9880201215185327	1.0	0.9934	0.8549
ENSG00000146729	0.12262131029633783	0.7495737355665443	0.3865	0.0685
ENSG00000146731	0.6300397560294168	1.0	0.316	0.8703
ENSG00000146757	0.34458249023212806	1.0	0.1745	0.6092
